Jacob Markstrom,65.43,4,  KKUPFL ADP: 167.53  |  Elite Prospects Rank: 126.0  |  DOM RK (PUCKIN AROUND): 48
Ilya Samsonov,69.67,4,  KKUPFL ADP: 134.58  |  Elite Prospects Rank: 67.0  |  DOM RK (PUCKIN AROUND): 63
John Gibson,80.28,4,  KKUPFL ADP: 209.49  |  Elite Prospects Rank: 187.0  |  DOM RK (PUCKIN AROUND): 55
Dylan Cozens,92.58,6,  KKUPFL ADP: 119.03  |  Elite Prospects Rank: 58.0  |  Steve Laidlaw Rank: 94  |  NHL.com (Points): 58  |  DOM RK (PUCKIN AROUND): 97
Brandon Hagel,94.95,6,  KKUPFL ADP: 146.33  |  Elite Prospects Rank: 88.0  |  Steve Laidlaw Rank: 145  |  NHL.com (Points): 112  |  DOM RK (PUCKIN AROUND): 83
Adin Hill,98.97,4,  KKUPFL ADP: 203.62  |  Elite Prospects Rank: 218.0  |  DOM RK (PUCKIN AROUND): 75
Pierre-Luc Dubois,104.08,6,  KKUPFL ADP: 97.75  |  Elite Prospects Rank: 131.0  |  Steve Laidlaw Rank: 73  |  NHL.com (Points): 78  |  DOM RK (PUCKIN AROUND): 108
Mat Barzal,105.0,1,  Steve Laidlaw Rank: 105
Artturi Lehkonen,107.21,6,  KKUPFL ADP: 151.41  |  Elite Prospects Rank: 173.0  |  Steve Laidlaw Rank: 114  |  NHL.com (Points): 95  |  DOM RK (PUCKIN AROUND): 96
Seth Jones,108.96,5,  KKUPFL ADP: 109.12  |  Elite Prospects Rank: 102.0  |  Steve Laidlaw Rank: 106  |  DOM RK (PUCKIN AROUND): 110
Jared Mccann,111.06,6,  KKUPFL ADP: 106.09  |  Elite Prospects Rank: 132.0  |  Steve Laidlaw Rank: 116  |  NHL.com (Points): 100  |  DOM RK (PUCKIN AROUND): 110
Vitek Vanecek,114.32,4,  KKUPFL ADP: 146.59  |  Elite Prospects Rank: 57.0  |  DOM RK (PUCKIN AROUND): 117
Nick Suzuki,115.52,6,  KKUPFL ADP: 136.58  |  Elite Prospects Rank: 77.0  |  Steve Laidlaw Rank: 117  |  NHL.com (Points): 71  |  DOM RK (PUCKIN AROUND): 122
Logan Couture,115.97,6,  KKUPFL ADP: 170.94  |  Elite Prospects Rank: 178.0  |  Steve Laidlaw Rank: 127  |  NHL.com (Points): 109  |  DOM RK (PUCKIN AROUND): 103
Phillipp Grubauer,117.0,1,  Elite Prospects Rank: 117.0
Elvis Merzlikins,120.05,3,  KKUPFL ADP: 213.88  |  DOM RK (PUCKIN AROUND): 110
Trevor Zegras,123.3,6,  KKUPFL ADP: 109.72  |  Elite Prospects Rank: 50.0  |  Steve Laidlaw Rank: 130  |  NHL.com (Points): 57  |  DOM RK (PUCKIN AROUND): 139
Brock Nelson,124.46,6,  KKUPFL ADP: 136.16  |  Elite Prospects Rank: 144.0  |  Steve Laidlaw Rank: 143  |  NHL.com (Points): 51  |  DOM RK (PUCKIN AROUND): 127
Devon Levi,126.73,4,  KKUPFL ADP: 192.48  |  Elite Prospects Rank: 114.5  |  DOM RK (PUCKIN AROUND): 121
Justin Faulk,126.9,4,  KKUPFL ADP: 134.48  |  Steve Laidlaw Rank: 137  |  DOM RK (PUCKIN AROUND): 125
Troy Terry,127.59,6,  KKUPFL ADP: 110.14  |  Elite Prospects Rank: 104.0  |  Steve Laidlaw Rank: 136  |  NHL.com (Points): 91  |  DOM RK (PUCKIN AROUND): 135
