Nico Hischier,46.21,9,  KKUPFL ADP: 45.84  |  Elite Prospects Rank: 41.0  |  Steve Laidlaw Rank: 71  |  NHL.com (Points): 29  |  DOM RK (KKUPFL): 46
Andrei Svechnikov,48.15,9,  KKUPFL ADP: 46.98  |  Elite Prospects Rank: 80.0  |  Steve Laidlaw Rank: 50  |  NHL.com (Points): 45  |  DOM RK (KKUPFL): 45
Moritz Seider,50.33,7,  KKUPFL ADP: 73.45  |  Elite Prospects Rank: 87.0  |  Steve Laidlaw Rank: 115  |  DOM RK (KKUPFL): 37
Artemi Panarin,51.65,9,  KKUPFL ADP: 37.64  |  Elite Prospects Rank: 27.0  |  Steve Laidlaw Rank: 19  |  NHL.com (Points): 17  |  DOM RK (KKUPFL): 63
Matt Boldy,53.64,8,  KKUPFL ADP: 76.19  |  Elite Prospects Rank: 75.0  |  Steve Laidlaw Rank: 51  |  NHL.com (Points): 65  |  DOM RK (KKUPFL): 48
Zach Hyman,54.94,9,  KKUPFL ADP: 44.89  |  Elite Prospects Rank: 66.0  |  Steve Laidlaw Rank: 53  |  NHL.com (Points): 46  |  DOM RK (KKUPFL): 56
Victor Hedman,55.58,8,  KKUPFL ADP: 75.19  |  Elite Prospects Rank: 111.0  |  Steve Laidlaw Rank: 42  |  DOM RK (KKUPFL): 49
Alex Tuch,56.21,9,  KKUPFL ADP: 46.47  |  Elite Prospects Rank: 59.0  |  Steve Laidlaw Rank: 78  |  NHL.com (Points): 34  |  DOM RK (KKUPFL): 57
Dylan Larkin,58.82,9,  KKUPFL ADP: 56.64  |  Elite Prospects Rank: 60.0  |  Steve Laidlaw Rank: 57  |  NHL.com (Points): 32  |  DOM RK (KKUPFL): 62
Alex Debrincat,59.51,9,  KKUPFL ADP: 42.42  |  Elite Prospects Rank: 97.0  |  Steve Laidlaw Rank: 33  |  NHL.com (Points): 61  |  DOM RK (KKUPFL): 60
Roope Hintz,60.53,9,  KKUPFL ADP: 38.7  |  Elite Prospects Rank: 42.0  |  Steve Laidlaw Rank: 54  |  NHL.com (Points): 19  |  DOM RK (KKUPFL): 70
Ilya Samsonov,63.08,7,  KKUPFL ADP: 134.58  |  Elite Prospects Rank: 67.0  |  DOM RK (KKUPFL): 55
Jacob Markstrom,64.61,7,  KKUPFL ADP: 167.53  |  Elite Prospects Rank: 126.0  |  DOM RK (KKUPFL): 47
Kevin Fiala,64.76,9,  KKUPFL ADP: 45.8  |  Elite Prospects Rank: 46.0  |  Steve Laidlaw Rank: 45  |  NHL.com (Points): 64  |  DOM RK (KKUPFL): 71
Jordan Kyrou,66.19,9,  KKUPFL ADP: 57.86  |  Elite Prospects Rank: 74.0  |  Steve Laidlaw Rank: 75  |  NHL.com (Points): 41  |  DOM RK (KKUPFL): 68
Johnny Gaudreau,66.7,9,  KKUPFL ADP: 57.64  |  Elite Prospects Rank: 45.0  |  Steve Laidlaw Rank: 61  |  NHL.com (Points): 35  |  DOM RK (KKUPFL): 74
Ryan Nugent-Hopkins,68.54,9,  KKUPFL ADP: 46.2  |  Elite Prospects Rank: 47.0  |  Steve Laidlaw Rank: 28  |  NHL.com (Points): 18  |  DOM RK (KKUPFL): 83
Travis Konecny,69.66,9,  KKUPFL ADP: 61.75  |  Elite Prospects Rank: 118.0  |  Steve Laidlaw Rank: 85  |  NHL.com (Points): 48  |  DOM RK (KKUPFL): 66
Sergei Bobrovsky,72.42,7,  KKUPFL ADP: 165.47  |  Elite Prospects Rank: 114.0  |  DOM RK (KKUPFL): 58
Stuart Skinner,73.2,7,  KKUPFL ADP: 121.61  |  Elite Prospects Rank: 64.0  |  DOM RK (KKUPFL): 69
Josh Morrissey,73.49,8,  KKUPFL ADP: 68.69  |  Elite Prospects Rank: 53.0  |  Steve Laidlaw Rank: 66  |  DOM RK (KKUPFL): 77
Carter Verhaeghe,74.34,9,  KKUPFL ADP: 64.89  |  Elite Prospects Rank: 122.0  |  Steve Laidlaw Rank: 110  |  NHL.com (Points): 69  |  DOM RK (KKUPFL): 67
Quinn Hughes,74.47,8,  KKUPFL ADP: 67.52  |  Elite Prospects Rank: 19.0  |  Steve Laidlaw Rank: 48  |  DOM RK (KKUPFL): 84
Filip Forsberg,74.61,9,  KKUPFL ADP: 66.09  |  Elite Prospects Rank: 72.0  |  Steve Laidlaw Rank: 38  |  NHL.com (Points): 72  |  DOM RK (KKUPFL): 80
Pavel Buchnevich,75.35,9,  KKUPFL ADP: 84.72  |  Elite Prospects Rank: 90.0  |  Steve Laidlaw Rank: 64  |  NHL.com (Points): 66  |  DOM RK (KKUPFL): 75
Brad Marchand,77.13,9,  KKUPFL ADP: 58.73  |  Elite Prospects Rank: 91.0  |  Steve Laidlaw Rank: 24  |  NHL.com (Points): 24  |  DOM RK (KKUPFL): 89
Mikhail Sergachev,77.72,8,  KKUPFL ADP: 71.23  |  Elite Prospects Rank: 86.0  |  Steve Laidlaw Rank: 120  |  DOM RK (KKUPFL): 73
Jordan Binnington,78.17,7,  KKUPFL ADP: 221.95  |  Elite Prospects Rank: 188.0  |  DOM RK (KKUPFL): 51
Bo Horvat,78.22,9,  KKUPFL ADP: 109.61  |  Elite Prospects Rank: 134.0  |  Steve Laidlaw Rank: 96  |  NHL.com (Points): 106  |  DOM RK (KKUPFL): 64
